的	〔白勹丶-·-rqyy〕
覱	〔-·-lrhq〕
覲	〔口-·-akgq〕
観	〔亻-·-rwyq〕
覴	〔一口-·-wgkq〕
覵	〔-·-uehq〕
覶	〔冂-·-ecmq〕
覷	〔-·-haoq〕
覸	〔日-·-ujhq〕
覹	〔-·-hqtt〕
覺	〔-·-wfqq〕
覻	〔一-·-hagq〕
覼	〔一冂-·-gwmq〕
覽	〔丨-·-ahnq〕
覾	〔米-·-ptoq〕
覿	〔-·-flmq〕
觀	〔口口-·-akkq〕
觃	〔-·-mqbd〕
觍	〔-·-mawq〕
觓	〔𠄌丨-·-qenh〕
觔	〔力-·-qeln〕
觕	〔-·-trqe〕
觗	〔-·-qeqa〕
觘	〔-·-qeit〕
觙	〔-·-qeey〕
觛	〔日一-·-qejg〕
觝	〔丶-·-qeqy〕
觟	〔土土-·-qeff〕
觠	〔大-·-udqe〕
觡	〔口-·-qetk〕
觢	〔丨-·-dhve〕
觤	〔-·-qeqb〕
觧	〔-·-qeud〕
觨	〔-·-qeai〕
觩	〔丶-·-qefy〕
觪	〔-·-qeuh〕
觬	〔-·-qevq〕
觭	〔大口-·-qedk〕
觮	〔-·-qevi〕
觰	〔土日-·-qmfj〕
觱	〔一口-·-dgke〕
觲	〔丨-·-qeuh〕
觴	〔土-·-qmfr〕
觵	〔-·-qeaw〕
觶	〔口-·-qekf〕
觷	〔-·-wfqe〕
觸	〔-·-qelj〕
觹	〔亻-·-qewm〕
觺	〔大-·-xtde〕
觻	〔-·-qexs〕
觼	〔-·-qeqt〕
觽	〔山-·-qemm〕
觾	〔-·-qeao〕
觿	〔山口-·-qemk〕
訁	〔丶一一-·-yygg〕
訂	〔-·-ysh〕
訃	〔-·-yhy〕
訄	〔-·-vyd〕
訅	〔-·-yvn〕
訆	〔𠄌丨-·-ynhh〕
計	〔-·-yfh〕
訉	〔丶-·-ymyy〕
訊	〔-·-ynfh〕
訋	〔勹丶-·-yqyy〕
訌	〔-·-yag〕
訍	〔丶-·-ycyy〕
討	〔寸-·-yfy〕
訏	〔一-·-ygfh〕
訐	〔-·-yfh〕
訑	〔也-·-ybn〕
訒	〔丶-·-yvyy〕
訓	〔-·-ykh〕
訔	〔山-·-myf〕
訕	〔山-·-ymh〕
訖	〔-·-ytnn〕
託	〔-·-ytan〕
記	〔-·-ynn〕
訙	〔丶-·-yvyy〕
訚	〔门-·-uyd〕
訛	〔亻-·-ywxn〕
訜	〔-·-ywvn〕
訝	〔-·-yaht〕
訞	〔大-·-ytdy〕
訟	〔厶-·-ywcy〕
訠	〔丨-·-yxhh〕
訡	〔人丶-·-ywyn〕
訢	〔-·-yrh〕
訣	〔人-·-ynwy〕
訤	〔-·-yqqy〕
訥	〔冂人-·-ymwy〕
訦	〔-·-ypqn〕
訧	〔-·-ydnn〕
訨	〔-·-yhg〕
訩	〔-·-yqbh〕
訪	〔-·-yyn〕
訫	〔-·-yny〕
訬	〔-·-yitt〕
設	〔-·-ymcy〕
訮	〔一-·-ygah〕
訯	〔-·-yeyy〕
訰	〔一-·-ygbn〕
許	〔-·-ytfh〕
訲	〔口丨-·-ykhh〕
訳	〔-·-ynyy〕
訴	〔丶-·-yryy〕
訵	〔-·-ylg〕
訶	〔口-·-yskg〕
訷	〔日丨-·-yjhh〕
訸	〔禾-·-yty〕
訹	〔丶-·-ysyy〕
診	〔人-·-ywet〕
註	〔丶王-·-yygg〕
証	〔一-·-yghg〕
訽	〔勹口-·-yqkg〕
訿	〔-·-yhxn〕
詀	〔口-·-yhkg〕
詁	〔-·-ydg〕
詂	〔亻寸-·-ywfy〕
詃	〔-·-yyxy〕
詄	〔人-·-yrwy〕
詅	〔人丶-·-ywyc〕
詆	〔丶-·-yqay〕
詇	〔大-·-ymdy〕
詉	〔女-·-yvcy〕
詊	〔-·-yufh〕
詋	〔口-·-ykqn〕
詌	〔-·-yafg〕
詍	〔-·-yann〕
詎	〔-·-yang〕
詏	〔力-·-yxln〕
詐	〔丨-·-ythf〕
詑	〔-·-ypxn〕
詒	〔厶口-·-yckg〕
詓	〔土厶-·-yfcy〕
詔	〔口-·-yvkg〕
評	〔一丨-·-yguh〕
詖	〔-·-yhcy〕
詗	〔冂口-·-ymkg〕
詘	〔山-·-ybmh〕
詙	〔-·-ydcy〕
詚	〔日一-·-yjgg〕
詛	〔一-·-yegg〕
詜	〔丨-·-ybhc〕
詝	〔-·-ypsh〕
詞	〔一口-·-yngk〕
詟	〔-·-dxyf〕
詠	〔丶-·-yyni〕
詡	〔-·-yng〕
詢	〔勹日-·-yqjg〕
詣	〔日-·-yxjg〕
詤	〔人-·-ywnq〕
詥	〔人一口-·-ywgk〕
試	〔-·-yaag〕
詧	〔-·-wyf〕
詨	〔-·-yuqy〕
詩	〔土寸-·-yffy〕
詪	〔-·-yvey〕
詫	〔-·-ypta〕
詬	〔一口-·-yrgk〕
詭	〔-·-yqdb〕
詮	〔人王-·-ywgg〕
詯	〔-·-ythg〕
詰	〔口-·-yfkg〕
話	〔-·-ytdg〕
該	〔人-·-yynw〕
詳	〔-·-yudh〕
詴	〔𠂇⺝-·-ydeg〕
詵	〔土-·-ytfq〕
詶	〔丶丨-·-yyth〕
詷	〔冂一口-·-ymgk〕
詸	〔米-·-yoy〕
詺	〔口-·-yqkg〕
詻	〔口-·-ytkg〕
詼	〔𠂇-·-ydoy〕
詽	〔-·-yftf〕
詾	〔勹-·-yqqb〕
詿	〔土土-·-yffg〕
誀	〔-·-ybg〕
誁	〔-·-yuah〕
誂	〔-·-yiqn〕
誃	〔-·-yqqy〕
誄	〔-·-ydiy〕
誅	〔-·-yriy〕
誆	〔王-·-yagg〕
誇	〔大-·-ydfn〕
誈	〔一厶土-·-ygcf〕
誋	〔-·-ynny〕
誌	〔-·-yfny〕
認	〔丶-·-yvyn〕
誎	〔一口-·-ygki〕
誏	〔丶-·-yyve〕
誐	〔-·-ytrt〕
誑	〔王-·-yqtg〕
誒	〔厶大-·-yctd〕
誔	〔-·-ytfp〕
誕	〔-·-ythp〕
誖	〔-·-yfpb〕
誗	〔禾刂-·-ytjh〕
誘	〔禾-·-yten〕
誙	〔一-·-ygva〕
誚	〔⺝-·-yieg〕
誛	〔-·-yvpc〕
誜	〔厶-·-ycwt〕
誝	〔人丶口-·-ywyk〕
語	〔五口-·-ygkg〕
誟	〔土-·-yftb〕
誠	〔-·-ydnt〕
誡	〔-·-yaah〕
誢	〔-·-yhqn〕
誣	〔人人-·-yaww〕
誤	〔口一大-·-ykgd〕
誥	〔土口-·-ytfk〕
誦	〔-·-yceh〕
誧	〔一⺝丶-·-ygey〕
誨	〔-·-ytxu〕
誩	〔-·-yyg〕
說	〔口-·-ywkq〕
誫	〔-·-ydfe〕
説	〔口-·-yukq〕
読	〔-·-yfpq〕
誮	〔亻-·-yawx〕
誯	〔日日-·-yjjg〕
誰	〔亻-·-ywyg〕
誱	〔一龰-·-ygvh〕
課	〔日-·-yjsy〕
誳	〔山-·-ynbm〕
誴	〔-·-ypfi〕
誵	〔𠂇⺝-·-yqde〕
誶	〔人-·-yywf〕
誷	〔冂-·-ymun〕
誸	〔-·-yxyx〕
誹	〔-·-ydjd〕
誺	〔人人-·-ysww〕
誻	〔日-·-yijg〕
誼	〔一-·-ypeg〕
誽	〔-·-yvqn〕
誾	〔-·-uyd〕
調	〔土口-·-ymfk〕
諀	〔白-·-yrtf〕
諁	〔-·-yccc〕
諂	〔-·-yqvg〕
諃	〔-·-yssy〕
諄	〔-·-yybg〕
諅	〔-·-adwy〕
諆	〔-·-yadw〕
談	〔-·-yooy〕
諈	〔一-·-ytgf〕
諉	〔禾女-·-ytvg〕
諊	〔勹米-·-yqoy〕
請	〔⺝-·-ygeg〕
諌	〔一日-·-ygji〕
諍	〔-·-yqvh〕
諎	〔日-·-yajg〕
諏	〔-·-ybcy〕
諐	〔亻口-·-wkqy〕
諑	〔丶-·-yeyy〕
諒	〔-·-yyiy〕
諓	〔-·-yaat〕
諔	〔⺊-·-yhic〕
諕	〔-·-yham〕
論	〔人一-·-ywga〕
諗	〔人丶-·-ywyn〕
諘	〔-·-ygey〕
諙	〔日-·-yqaj〕
諚	〔一龰-·-ypgh〕
諛	〔人-·-yvwy〕
諜	〔-·-yans〕
諝	〔龰⺝-·-ynhe〕
諞	〔丶-·-yyna〕
諟	〔日一龰-·-yjgh〕
諠	〔一一-·-ypgg〕
諡	〔一-·-ywgl〕
諢	〔-·-yplh〕
諣	〔口-·-ymnk〕
諤	〔口口-·-ykkn〕
諥	〔一土-·-ytgf〕
諦	〔丨-·-yuph〕
諧	〔白-·-yxxr〕
諨	〔一口-·-ygkl〕
諩	〔一-·-yuog〕
諪	〔-·-yyps〕
諫	〔一-·-ygli〕
諬	〔禾-·-tdny〕
諭	〔人一刂-·-ywgj〕
諮	〔口-·-yuqk〕
諯	〔山-·-ymdj〕
諰	〔-·-ylny〕
諱	〔丨丨-·-ynhh〕
諲	〔覀土-·-ysfg〕
諳	〔日-·-yujg〕
諴	〔一-·-ydgt〕
諵	〔冂-·-yfmf〕
諶	〔-·-yadn〕
諷	〔-·-ymtj〕
諸	〔土日-·-yftj〕
諹	〔日一-·-yjgr〕
諺	〔-·-yute〕
諻	〔白王-·-yrgg〕
諼	〔-·-yefc〕
諽	〔-·-yafh〕
諾	〔𠂇口-·-yadk〕
諿	〔口-·-ykbg〕
謀	〔-·-yafs〕
謁	〔日勹-·-yjqn〕
謂	〔⺝-·-yleg〕
謃	〔日-·-yjtg〕
謄	〔大-·-eudy〕
謅	〔勹-·-yqbt〕
謆	〔丶-·-yynn〕
謈	〔日-·-jawy〕
謉	〔白厶-·-yrqc〕
謊	〔-·-yayq〕
謋	〔-·-yqas〕
謌	〔口口-·-yskk〕
謍	〔-·-oopy〕
謎	〔米辶-·-yopy〕
謏	〔丨-·-yvhc〕
謐	〔-·-yntl〕
謑	〔大-·-yexd〕
謒	〔人丶口-·-ywyk〕
謓	〔-·-yfhw〕
謔	〔一-·-yhag〕
謕	〔-·-yrhm〕
謖	〔-·-ylwt〕
謗	〔-·-yupy〕
謘	〔-·-ynuh〕
謙	〔-·-yuvo〕
謚	〔-·-yuwl〕
講	〔土-·-yfjf〕
謜	〔白-·-ydri〕
謝	〔寸-·-ytmf〕
謞	〔冂口-·-yymk〕
謟	〔-·-yevg〕
謠	〔山-·-yqrm〕
謡	〔山-·-yerm〕
謢	〔亻-·-ywyc〕
謣	〔-·-yffn〕
謤	〔覀-·-ysfi〕
謥	〔囗-·-ytln〕
謧	〔文厶-·-yybc〕
謨	〔日大-·-yajd〕
謩	〔日大-·-ajdy〕
謪	〔冂口-·-yumk〕
謫	〔冂-·-yumd〕
謬	〔人-·-ynwe〕
謭	〔⺝-·-yuev〕
謮	〔-·-ygmy〕
謯	〔一-·-yhag〕
謰	〔辶-·-ylpy〕
謱	〔口一女-·-ykgv〕
謲	〔厶厶-·-ycce〕
謳	〔口口-·-yakk〕
謴	〔-·-yxfm〕
謵	〔白-·-ynrg〕
謶	〔-·-yyao〕
謷	〔-·-gqty〕
謸	〔-·-ygqt〕
謹	〔口-·-yakg〕
謺	〔土-·-fufy〕
謻	〔禾-·-ytqq〕
謼	〔-·-yhah〕
謽	〔口-·-xkjy〕
謾	〔日-·-yjlc〕
謿	〔-·-yfje〕
譀	〔-·-ynbt〕
譁	〔一-·-yagf〕
譂	〔口口-·-ykkf〕
譃	〔一-·-yhag〕
譄	〔日-·-yulj〕
譅	〔丶-·-yvyh〕
譆	〔口口-·-yfkk〕
譇	〔大土日-·-ydfj〕
譈	〔-·-yybt〕
證	〔一-·-ywgu〕
譊	〔土土-·-yffq〕
譋	〔-·-yueg〕
譌	〔-·-yeto〕
譍	〔亻亻-·-ywwy〕
譎	〔口-·-ycbk〕
譏	〔-·-yxxt〕
譐	〔寸-·-yusf〕
譑	〔大口-·-ytdk〕
譒	〔米-·-ytol〕
譓	〔一日-·-ygjn〕
譔	〔-·-ynnw〕
譕	〔-·-yrlo〕
譖	〔日-·-yaqj〕
譗	〔人口-·-ytwk〕
識	〔日-·-yuaj〕
譙	〔亻-·-ywyo〕
譚	〔覀-·-ysjh〕
譛	〔人日-·-yfwj〕
譜	〔日-·-yuoj〕
譝	〔一-·-ymgv〕
譞	〔一-·-ylge〕
譟	〔口口-·-ykks〕
譠	〔囗一-·-yylg〕
譡	〔-·-yipl〕
譢	〔辶-·-yuep〕
譣	〔人一人-·-ywgw〕
譤	〔白-·-yryt〕
譥	〔白-·-ryty〕
譧	〔-·-yyuo〕
譨	〔-·-ymae〕
譩	〔日-·-yujn〕
譪	〔日-·-yajn〕
譫	〔-·-yqdy〕
譭	〔-·-yvac〕
譮	〔人一日-·-ywgj〕
譯	〔土-·-ylff〕
議	〔王-·-yugt〕
譱	〔-·-udyy〕
譲	〔-·-yufe〕
譳	〔-·-yfdj〕
譴	〔口丨辶-·-ykhp〕
譵	〔一寸-·-yogf〕
譶	〔-·-yyyf〕
護	〔亻-·-yawc〕
譸	〔寸-·-yfnf〕
譹	〔-·-yype〕
譺	〔龰-·-yxth〕
譻	〔-·-mmyf〕
譼	〔丨-·-ahny〕
譽	〔一-·-wfgy〕
譾	〔⺝-·-yuen〕
譿	〔丨-·-ydhn〕
讀	〔-·-yflm〕
讁	〔冂辶-·-yump〕
讂	〔-·-yqmt〕
讃	〔人-·-yfwm〕
讄	〔-·-ylll〕
讅	〔-·-yptl〕
讆	〔丨-·-tnhy〕
讇	〔-·-yuqv〕
讈	〔禾-·-ydth〕
讉	〔口丨辶-·-ykhp〕
變	〔-·-xyxt〕
讋	〔⺝一-·-uegy〕
讌	〔-·-yauo〕
讍	〔王口口-·-ygkk〕
讎	〔亻-·-wyyy〕
讏	〔丨-·-tnhy〕
讐	〔亻亻-·-wywy〕
讑	〔人一-·-ywga〕
讒	〔口丶-·-yqky〕
讓	〔口-·-yyke〕
讔	〔-·-yben〕
讕	〔一-·-yugi〕
讖	〔人人-·-ywwg〕
讗	〔山亻口-·-ymwk〕
讘	〔-·-ybbb〕
讙	〔口-·-yaky〕
讚	〔土-·-ytfm〕
讛	〔土厶-·-yafc〕
讜	〔-·-yipo〕
讝	〔口口-·-ykkt〕
讞	〔-·-yhad〕
讟	〔-·-yfly〕
讬	〔-·-ytan〕
讱	〔丶-·-yvyy〕
讻	〔-·-yqbh〕
诇	〔冂口-·-ymkg〕
诐	〔-·-yhcy〕
诪	〔寸-·-ydtf〕
谉	〔日丨-·-ypjh〕
谞	〔龰⺝-·-ynhe〕
谸	〔𠂇口-·-tdwk〕
谹	〔人口厶-·-wwkc〕
谺	〔人口-·-wwkt〕
谻	〔人口-·-wwkt〕
谼	〔人口-·-wwkw〕
谽	〔人口口-·-wwkk〕
谾	〔人口-·-wwka〕
谿	〔大口-·-exdk〕
豀	〔人口大-·-wwkd〕
豂	〔人口-·-wwke〕
豃	〔人口-·-wwkt〕
豄	〔人口-·-wwkm〕
豅	〔人口-·-wwkd〕
豈	〔山一口-·-mgku〕
豊	〔一-·-magu〕
豋	〔一口-·-wgku〕
豍	〔一口-·-gkuf〕
豎	〔丨-·-ahnu〕
豏	〔一口-·-gkuo〕
豐	〔丨-·-dhdu〕
豑	〔一-·-magt〕
豒	〔丨-·-dhdt〕
豓	〔丨-·-dhdl〕
豔	〔丨-·-dhdl〕
豖	〔丶-·-eyi〕
豗	〔一-·-gqei〕
豘	〔一-·-egbn〕
豙	〔-·-ueu〕
豛	〔-·-emcy〕
豜	〔一-·-egah〕
豝	〔-·-ecn〕
豞	〔勹口-·-eqkg〕
豟	〔丶-·-eynn〕
豠	〔一-·-eegg〕
豣	〔-·-eftf〕
豤	〔-·-evey〕
豥	〔人-·-eynw〕
豦	〔-·-haei〕
豧	〔一⺝丶-·-egey〕
豨	〔𠂇丨-·-eqdh〕
豩	〔-·-eey〕
豬	〔土日-·-eftj〕
豭	〔丨-·-enhc〕
豮	〔贝-·-efam〕
豯	〔大-·-eexd〕
豰	〔一-·-fpgc〕
豱	〔日-·-ejlg〕
豲	〔白-·-edri〕
豴	〔冂-·-eumd〕
豵	〔人龰-·-etwh〕
豶	〔-·-efam〕
豷	〔-·-efpu〕
豻	〔-·-eefh〕
豼	〔-·-eexx〕
豽	〔冂人-·-eemw〕
豾	〔一一-·-eegg〕
豿	〔勹口-·-eeqk〕
貀	〔山-·-eebm〕
貁	〔-·-eepw〕
貃	〔白-·-eerg〕
貄	〔丨-·-eevh〕
貆	〔一一-·-eegg〕
貇	〔-·-eeve〕
貈	〔-·-eete〕
貋	〔日-·-eejf〕
貍	〔日土-·-eejf〕
貎	〔-·-eevq〕
貏	〔白-·-eerf〕
貐	〔人刂-·-eewj〕
貑	〔-·-eenc〕
貒	〔山-·-eemj〕
貓	〔-·-eeal〕
貕	〔大-·-eeed〕
貖	〔-·-eeul〕
貗	〔口女-·-eekv〕
貙	〔口-·-eeak〕
貚	〔口-·-eekf〕
貛	〔-·-eeay〕
貜	〔-·-eehc〕
貝	〔丨丶-·-mhny〕
貞	〔-·-hmu〕
貟	〔厶-·-cmu〕
負	〔-·-qmu〕
財	〔-·-mftt〕
貢	〔-·-amu〕
貣	〔-·-amu〕
貤	〔也-·-mbn〕
貥	〔-·-mymn〕
貦	〔-·-mfqn〕
貧	〔-·-wvmu〕
貨	〔亻-·-wxmu〕
販	〔-·-mrcy〕
貪	〔人丶-·-wynm〕
貫	〔-·-xfmu〕
責	〔-·-gmu〕
貭	〔-·-rfmi〕
貮	〔一-·-gami〕
貯	〔-·-mpsh〕
貰	〔-·-anmu〕
貱	〔-·-mhcy〕
貲	〔-·-hxmu〕
貳	〔-·-afmi〕
貴	〔口丨一-·-khgm〕
貵	〔厶大-·-cdmu〕
貶	〔-·-mtpy〕
買	〔-·-lmu〕
貸	〔亻-·-wamu〕
貹	〔-·-mtgg〕
貺	〔口-·-mkqn〕
費	〔-·-xjmu〕
貼	〔口-·-mhkg〕
貽	〔厶口-·-mckg〕
貾	〔丶-·-mqay〕
貿	〔丶-·-qyvm〕
賀	〔力口-·-lkmu〕
賁	〔-·-famu〕
賂	〔口-·-mtkg〕
賃	〔亻-·-wtfm〕
賄	〔𠂇⺝-·-mdeg〕
賅	〔人-·-mynw〕
賆	〔-·-muah〕
資	〔人-·-uqwm〕
賈	〔覀-·-smu〕
賉	〔-·-mtlg〕
賊	〔𠂇-·-madt〕
賋	〔-·-muqy〕
賌	〔-·-yntm〕
賍	〔土-·-myfg〕
賎	〔丶-·-mdxy〕
賏	〔-·-mmy〕
賐	〔厶-·-mcwt〕
賑	〔-·-mdfe〕
賒	〔人-·-mwfi〕
賓	〔一-·-pgim〕
賔	〔-·-pnmu〕
賕	〔丶-·-mfiy〕
賖	〔人-·-mwty〕
賗	〔口口丨-·-mkkh〕
賘	〔土丶-·-myfy〕
賙	〔土口-·-mmfk〕
賚	〔人人-·-swwm〕
賛	〔人-·-fwfm〕
賜	〔日勹-·-mjqr〕
賝	〔-·-mpws〕
賞	〔口-·-ipkm〕
賟	〔-·-mmaw〕
賠	〔口-·-mukg〕
賡	〔人-·-yvwm〕
賢	〔丨-·-ahnm〕
賣	〔-·-flmu〕
賤	〔-·-maat〕
賥	〔人-·-mywf〕
賦	〔一-·-mgah〕
賧	〔-·-mooy〕
賨	〔-·-pfim〕
賩	〔-·-mpfi〕
質	〔-·-rrmu〕
賫	〔人人-·-fwwm〕
賬	〔-·-mdey〕
賭	〔土日-·-mftj〕
賮	〔丨一-·-vhgm〕
賯	〔勹日-·-mqjb〕
賰	〔人日-·-mdwj〕
賱	〔-·-mplh〕
賲	〔亻口-·-wksm〕
賳	〔口-·-mfak〕
賴	〔一口-·-gkim〕
賵	〔-·-mjhg〕
賶	〔人丶口-·-mwyk〕
賷	〔口口-·-fkkm〕
賸	〔大-·-eudm〕
賹	〔-·-muwl〕
賺	〔-·-muvo〕
賻	〔一⺝寸-·-mgef〕
購	〔土-·-mfjf〕
賽	〔-·-pfjm〕
賾	〔丨口-·-ahkm〕
賿	〔人-·-mnwe〕
贀	〔大-·-atdm〕
贁	〔-·-mmty〕
贂	〔厶厶-·-mcce〕
贃	〔口口-·-mkkn〕
贄	〔土-·-fufm〕
贅	〔-·-gqtm〕
贆	〔-·-mddd〕
贇	〔文一-·-ygam〕
贈	〔日-·-mulj〕
贉	〔覀-·-msjh〕
贊	〔土-·-tfqm〕
贋	〔亻亻-·-dwwm〕
贌	〔一-·-mogy〕
贍	〔-·-mqdy〕
贎	〔日丶-·-majy〕
贏	〔口丶-·-ynky〕
贐	〔丨-·-mvhl〕
贑	〔-·-ujam〕
贒	〔丨-·-ahnm〕
贓	〔-·-mdnt〕
贔	〔-·-mmmu〕
贕	〔丶-·-qytm〕
贖	〔-·-mflm〕
贗	〔亻亻-·-dwwm〕
贘	〔-·-mipm〕
贙	〔-·-hamm〕
贚	〔⺝-·-mued〕
贛	〔-·-ujtm〕
贜	〔-·-madt〕
贠	〔厶贝-·-cmu〕
赑	〔贝贝贝-·-mmmu〕
赒	〔贝土口-·-mmfk〕
赗	〔贝-·-mjhg〕
赟	〔文一贝-·-ygam〕
赥	〔土人-·-foqw〕
赨	〔土-·-fojy〕
赩	〔土-·-foqc〕
赪	〔土贝-·-fohm〕
赬	〔土-·-fohm〕
赮	〔土-·-fonc〕
赯	〔土口-·-foyk〕
赱	〔土-·-fuyu〕
赲	〔土龰力-·-fhlv〕
赸	〔土龰山-·-fhmk〕
赹	〔土龰勹-·-fhqu〕
赺	〔土龰人-·-fhwn〕
赻	〔土龰-·-fhit〕
赼	〔土龰人-·-fhqw〕
赽	〔土龰人-·-fhnw〕
赾	〔土龰-·-fhrk〕
赿	〔土龰-·-fhqa〕
趀	〔土龰-·-fhtt〕
趂	〔土龰-·-fhqi〕
趃	〔土龰人-·-fhrw〕
趆	〔土龰丶-·-fhqy〕
趇	〔土龰-·-fhud〕
趈	〔土龰口-·-fhhk〕
趉	〔土龰山-·-fhbm〕
趌	〔土龰口-·-fhfk〕
趍	〔土龰-·-fhqq〕
趎	〔土龰-·-fhri〕
趏	〔土龰-·-fhtd〕
趐	〔土龰-·-fhnd〕
趒	〔土龰-·-fhiq〕
趓	〔土龰-·-fhms〕
趕	〔土龰日-·-fhjf〕
趖	〔土龰人土-·-fhwf〕
趗	〔土龰口龰-·-fhkh〕
趘	〔土龰-·-fhnn〕
趙	〔土龰⺝-·-fhie〕
趚	〔土龰一-·-fhgi〕
趛	〔土龰-·-fhqd〕
趜	〔土龰勹米-·-fhqo〕
趝	〔土龰人-·-fhwn〕
趞	〔土龰日-·-fhaj〕
趠	〔土龰-·-fhhj〕
趡	〔土龰亻-·-fhwy〕
趢	〔土龰-·-fhvi〕
趤	〔土龰-·-fhpd〕
趥	〔土龰一-·-fhug〕
趦	〔土龰口-·-fhuk〕
趧	〔土龰日龰-·-fhjh〕
趨	〔土龰勹-·-fhqt〕
趩	〔土龰-·-fhlw〕
趪	〔土龰-·-fhaw〕
趫	〔土龰口-·-fhtk〕
趬	〔土龰土-·-fhfq〕
趭	〔土龰亻-·-fhwo〕
趮	〔土龰口-·-fhks〕
趯	〔土龰-·-fhny〕
趰	〔土龰一-·-fhgq〕
趲	〔土龰-·-fhtm〕
趶	〔口一-·-khgf〕
趷	〔口-·-khtn〕
趹	〔口人-·-khnw〕
趻	〔口人-·-khwn〕
趽	〔口-·-khyn〕
跀	〔口-·-kheg〕
跁	〔口-·-khcn〕
跂	〔口-·-khfc〕
跅	〔口丶-·-khry〕
跇	〔口-·-khan〕
跈	〔口人-·-khwe〕
跉	〔口人-·-khwc〕
跊	〔口-·-khfi〕
跍	〔口-·-khdg〕
跐	〔口-·-khhx〕
跒	〔口口-·-khsk〕
跓	〔口丶王-·-khyg〕
跔	〔口勹口-·-khqk〕
跕	〔口口-·-khhk〕
跘	〔口-·-khuf〕
跙	〔口一-·-kheg〕
跜	〔口-·-khnx〕
跠	〔口一人-·-khgw〕
跡	〔口-·-khyo〕
跢	〔口-·-khqq〕
跥	〔口-·-khes〕
跦	〔口-·-khri〕
跧	〔口人王-·-khwg〕
跩	〔口日-·-khjx〕
跭	〔口丨-·-khth〕
跮	〔口一土-·-khgf〕
跰	〔口-·-khua〕
跱	〔口土寸-·-khff〕
跲	〔口人口-·-khwk〕
跴	〔口-·-khsg〕
跶	〔口大辶-·-khdp〕
跼	〔口口-·-khnk〕
跾	〔亻丨龰-·-whth〕
跿	〔口土龰-·-khfh〕
踀	〔口口龰-·-khkh〕
踁	〔口一-·-khga〕
踂	〔口-·-khbn〕
踃	〔口⺝-·-khie〕
踄	〔口-·-khhi〕
踆	〔口厶-·-khct〕
踇	〔口-·-khtu〕
踈	〔口一-·-khgi〕
踋	〔口土-·-khfb〕
踍	〔口土-·-khfb〕
踎	〔口一口-·-khgk〕
踐	〔口-·-khaa〕
踑	〔口-·-khaw〕
踒	〔口禾女-·-khtv〕
踓	〔口亻-·-khwy〕
踕	〔口一龰-·-khgh〕
踖	〔口日-·-khaj〕
踗	〔口人-·-khwn〕
踘	〔口勹米-·-khqo〕
踙	〔口-·-khbc〕
踚	〔口人-·-khwa〕
踛	〔口土土-·-khff〕
踜	〔口土-·-khft〕
踠	〔口-·-khpb〕
踡	〔口-·-khub〕
踤	〔口-·-khyf〕
踥	〔口女-·-khuv〕
踦	〔口大口-·-khdk〕
踧	〔口⺊-·-khhc〕
踨	〔口人龰-·-khwh〕
踫	〔口一-·-khug〕
踭	〔口-·-khqh〕
踰	〔口人刂-·-khwj〕
踲	〔口-·-khrh〕
踳	〔口日-·-khdj〕
踴	〔口力-·-khcl〕
踶	〔口日龰-·-khjh〕
踷	〔口土日-·-khfj〕
踸	〔口-·-khan〕
踻	〔口口-·-khmk〕
踼	〔口日-·-khjr〕
踾	〔口一-·-khgl〕
踿	〔口禾-·-khto〕
蹃	〔口口-·-khak〕
蹅	〔口一-·-khsg〕
蹆	〔口辶-·-khvp〕
蹌	〔口人口-·-khwk〕
蹍	〔口-·-khne〕
蹎	〔口-·-khfw〕
蹏	〔口-·-khrm〕
蹐	〔口⺝-·-khie〕
蹓	〔口-·-khql〕
蹔	〔口龰-·-lrkh〕
蹕	〔口日-·-khjf〕
蹖	〔口-·-khdv〕
蹗	〔口-·-khyx〕
蹘	〔口-·-khne〕
蹚	〔口土-·-khif〕
蹛	〔口丨-·-khah〕
蹜	〔口日-·-khpj〕
蹝	〔口龰-·-khth〕
蹞	〔口-·-khxm〕
蹟	〔口-·-khgm〕
蹠	〔口-·-khyo〕
蹡	〔口寸-·-khnf〕
蹢	〔口-·-khud〕
蹣	〔口丶-·-khay〕
蹤	〔口龰-·-khth〕
蹥	〔口辶-·-khlp〕
蹧	〔口一日-·-khgj〕
蹨	〔口-·-khqo〕
蹪	〔口口-·-khkm〕
蹫	〔口口-·-khck〕
蹮	〔口覀-·-khsn〕
蹱	〔口土-·-khuf〕
蹳	〔口-·-khwc〕
蹵	〔龰-·-yidh〕
蹷	〔龰-·-dubh〕
蹸	〔口米丨-·-khoh〕
蹹	〔口人-·-khwn〕
蹺	〔口土-·-khfq〕
蹻	〔口口-·-khtk〕
蹽	〔口大-·-khdi〕
蹾	〔口-·-khyt〕
躀	〔口-·-khxm〕
躂	〔口土辶-·-khfp〕
躃	〔口-·-khnu〕
躄	〔口龰-·-nkuh〕
躆	〔口-·-khhe〕
躈	〔口白-·-khrt〕
躉	〔日冂龰-·-ajmh〕
躊	〔口寸-·-khff〕
躋	〔口-·-khyf〕
躌	〔口丨-·-khrh〕
躍	〔口-·-khny〕
躎	〔口一-·-khgq〕
躑	〔口-·-khub〕
躒	〔口-·-khxs〕
躓	〔口-·-khrm〕
躕	〔口寸-·-khyf〕
躖	〔口一-·-khxg〕
躗	〔丨龰-·-tnhh〕
躘	〔口-·-khud〕
